"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PG_002979_T.1",4.87025177703298,-2.53143587120586,0.776850473082733,17.3017695719661,0.00168863429338316,0.00763094560363703
"PG_002980_T.1",9.89246642721957,-2.1704632945668,0.659750304061042,21.0209862977907,0.000313649611575458,0.00182598151456154
"PG_002983_T.1",217.991542872494,1.52351357948793,0.268192729212226,38.9541025010803,7.12018922282275e-08,1.23419049947553e-06
"PG_002987_T.1",256.5797157462,-0.735891216094609,0.252964878120397,25.1778813834769,4.63316884949299e-05,0.000351558605330293
"PG_002989_T.1",24.2276469317496,0.706699706382601,0.718676083182079,13.6171784055473,0.00862263208101982,0.0300621367937754
"PG_002991_T.1",67.9599073418955,0.741419289102059,0.249334809586523,12.6045914584703,0.0133784918541869,0.0428853726042926
"PG_002996_T.1",99.567164922228,1.06295716286534,0.420906036253187,18.0814627439411,0.00118966750965994,0.00570519999022545
"PG_002999_T.1",41.4150340851707,-1.03226883481885,0.371308689129532,13.47393113633,0.00917790785443932,0.0317002083278435
"PG_003004_T.1",31.6023593590364,-2.83222584139158,0.781682073593864,21.75627937213,0.000224095114826308,0.00137453145272028
"PG_003006_T.1",42.605959419541,1.77871919478818,0.397852064124261,30.1443373437135,4.57419628703447e-06,4.64378568334353e-05
"PG_003009_T.1",367.679488378692,0.83634081766383,0.247851725213319,13.7980231850422,0.00796838090303713,0.0281945247377084
"PG_003015_T.1",178.384781166775,3.57015016221187,0.484294847264031,91.5106386244738,6.28851834664268e-19,1.98446832236202e-16
"PG_003019_T.1",223.564334317362,0.818037653054866,0.181826576898327,36.7337599727339,2.04373712205225e-07,3.0987349646707e-06
"PG_003020_T.1",139.207602843466,0.750201001746672,0.213462908619393,14.4350410042405,0.00602853059335153,0.0223446063682884
"PG_003027_T.1",243.402618789682,0.854059069912379,0.294511146771596,14.6107609629258,0.00558049986028118,0.0209730648409565
"PG_003029_T.1",345.008765627919,0.668398913320301,0.158168919001686,31.4379232018923,2.49201708674138e-06,2.74446995925993e-05
"PG_003031_T.1",586.769567732764,1.15952727894912,0.213764467877992,51.8490664935985,1.48342791844984e-10,5.48624612205665e-09
"PG_003037_T.1",142.996217120007,0.503732616157066,0.167878886403141,15.6315117422051,0.00355565739833454,0.0143091055558109
"PG_003041_T.1",50.5729981084417,2.34183395953904,0.537951395308844,28.0572216962234,1.21442460814338e-05,0.000109613101626756
"PG_003043_T.1",1.21404461381959,-3.03082319664446,1.30461863745687,13.9340966796378,0.00750838966273257,0.0268539651892626
"PG_003044_T.1",858.326467574752,-0.94751599555458,0.245000052196701,28.173378510176,1.15033023113542e-05,0.000104442190332129
"PG_003046_T.1",5.25646844340175,-2.41243816780869,0.839524316907277,20.5444808754435,0.000389791985040855,0.00220250044486511
"PG_003047_T.1",8.07978895983029,-0.812424002841953,0.791382534159517,12.538612954422,0.0137647323423828,0.0439259004132781
